,0
0,think cat cgi inconsistent accent place hilariously bad
1,norwegian one best thing original begin set norway story girl painting norwegian parent really love begin original keep make terrible remake really good movie make original far surperior terrible cgi movie check drawing book witch way movie cgi like someone comment give movie nut incredible bad
2,waste time watch classic original still look anazing today year later mainly cos act practical effect darn sinister child movie cast grand high witch massive miscasting ever one supposed german accent go russian one sentence hell think choose second rate cgi effect animatronics make clearly miss point make original movie iconic scary cgi mouse like someat student film college make free app android top camp rock voice overly excite consider narrate story evil withches danger pose towards child whole film badly miscast make showgirls look like pride prejudice stop remake classic movie come new idea make new movie diverse need erase iconic movie past tick diversity quota make new movie new idea diverse really keep away icnonc role like actually anger bad film already
3,tripe start finish one good thing movie cgi shockingly bad cartoonish story set therefore completely ruin even come close describe movie
4,remake story line emotional connection character compare original yes compare good actress film alright director ashamed waste money talent go soup enjoy rest night watch original version talent pinky movie
5,make witch short simplify original adaptation film cast seem entirely engage role much auto tone cgi use point effective one might hope bland set much small scale compare original version another bland low budget make film
6,horrible believe remake amazing classic cast grand high offense actress role part like imagine anyone else play also offense rock narration
7,kill seriously terrible start weird voice remake go wrong wherever wrong act stiff focus hardly witch cgi good housekeeping cart seem come cgi box thing best genuine grandmother succeed yes fan movie though close original story really believe recognize book mess first movie gorgeous authenticity folklore edge heart factory work seem want much deliver make miss much purple glow witch eye make want throw like witch smell child say watch sure entire generation never grow original disagree like curse church horrible
8,whole movie mess cast seem dis interested role plot shot shot make original overall feel like spirit enthusiasm project recommend watch original engage version film
9,go lot unemployed actor soon anyone leave understand public mood
10,love movie seem like rush phone begin original cult classic dare mess gonna well well clearly go kid friendly movie mean story creepy mouse animation take away specially come animatronics reveal underwhelming change addition story serve add pain attach project producer seem go decline suck fan may happier end change dunno happy movie general
11,get producer think good idea make already fabulous movie remake movie good
12,original well left movie alone together
13,hold candle neither rest cast counter part direction bland unimaginative
14,remake far waste kid time watch original
15,family movie look incredibly cheesy bad compare modern release opposite adaptation masterpiece compare incredible many talented people work mess cringiest thing accent jump never funny try hard many talk animal movie child enjoy spare succumb voice head ask bad really bad
