,0
0,"This is a rom-com not a sci-fi movie. It's just a fun little romp, take it for what it's worth. I did take an entire star away for spelling Pike Place Market wrong. 😁"
1,Surprised at all the bad review. Very entertaining and funny. A definite 6 out of 10.
2,"It's a romantic comedy, but all in all it had a lot of funny parts throughout and my spouse and I both enjoyed it. I feel like the 4.6 rating currently is lower than it deserves for sure."
3,"My wife and I thought it was very cute. The superintelligent computer was less plot and more a vehicle for the romance, but did have its share of laughs. We found the jokes and the chemistry of the couple very similar to our own, which always brings a breath of realism to a movie. Well done guys!"
4,"Despite the negative reviews I really enjoyed this charming, simple and funny movie. It is pleasant relief from the terrible year that is upon us. Just enjoy it! Some things don't need to be deep, although it makes a point that humans are their own worst enemy and we need to do more and step up!"
5,"The beginning started to engage me but as the movie continued I realized how stall the jokes grew.
It would have been nice to enjoy this movie and unfortunately this is another miss for Melissa.
I recommend if you really really want to watch it, have a drink or 2."
6,How this can be called a comedy I will never understand. The only thing that you can laugh about is how stupid you were watching it to the end.
7,"This definitely isn't as bad as a 3/10 as IMDB users rated it. People either just love something or hate something (although I think they can like stuff more than others). I guess some people just hated this, but I blame the writers.For example, the big bean bag was a cool idea, but it shouldn't have wasted a whole minute of screen time. That should've been like the end to a scene, or something like that (in my opinion).The writers did a good job on the story they actually wrote, however, like when they make sure the audience knows the voice isn't actually meant to be James Cordon himself.However, with that said, I just think the scenes weren't that funny or entertaining. I love the idea and concept of the movie, and love Melissa McCarthy, but sometimes I just felt like doing something else other than watching the movie, and in my opinion, movies should NEVER be like that. Every scene should capture you and grab you, and make you not want to go and do that huge ass pile of work I have sitting around, and this movie had me thinking about that big pile of work still somewhat. I feel like simple benchmarks like this can really tell studios if movies are likeable or not, but these benchmarks need to be tested across large groups of people. I guess this is what they're doing with machine learning (like at Netflix, for their recommendation engine), but I feel like they're measuring the wrong benchmarks. Whether or not I want to watch a movie instead of work or play games says a lot, though, and this had me thinking of going to do both of those things. I know this is a very basic system of measurement, but it hasn't failed me yet. I recommend movies to people all the time and are the guy everyone asks what to watch, so I think I have good instinct in this area.I also wanted to say that while it wasn't very entertaining, it was very well made, and is of very high quality.I feel it's worth a watch regardless, but the ratings speak for themselves."
8,Ben Falcone has gotten too many chances. Melissa McCarthy used to be one of my favorite comedy actresses. But this is the last drop. Spending a nice friday on this film when nobody tried their best making it. Nobody
9,"I like Melissa McCarthy but anytime she acts in one of her husband's films, I know I need to lower my expectations. Ben Falcone, you're ruining your wife's career!! 😡"
10,"My review title is saying that in the best possible way. Without Bobby Cannavale this would have been a 1 star movie, he can act, and I feel sorry for him being in this excrement. Absolutely awful. Full of so-called comedians who are not funny at all, and also cannot act, together with a script that is mindbogglingly terrible. Whoever okayed this rubbish must surely have been fired. Please do not waste your time on this garbage."
11,"I think, but I'm not sure, she used to be in some funny films but this was truly painful to watch.
Not one single laugh and the acting from all was stiff and pathetic.
How can writers, editors, directors etc. make pathetic crap like this and think they've done anything creative? Even anything remotely creative???Embarrassed to have admitted to have watched this tripe!"
12,"Actor (also in this film) turned newb director Ben Falcone, and actor (also in this film) turned newb writer Steve Mallory, successfully put together this entertaining, funny, and heartwarming film. It worked mainly in part due to Melissa McCarthy's usual outstanding and hilarious performance, as well as James Corden's virtual appearance. Finally, Corden was fitting and good in his attempt at Hollywood films (i.e. Cats). Bobby Cannavale as well as the rest of the casting and performances were also great. The cinematography and score was decent. The 106 min runtime did feel a little dragged out and long. I feel at least 10-15 min cut and/or faster pacing in some acts would've benefited this film. Nevertheless, imo it's undeserving of it's low rating. You're either not a fan or are of Melissa McCarthy, and I am, and she nailed it - again. It's a film that will certainly give you smiles and laughs. A well deserved 8/10 from me."
13,"This is an easy throwaway movie. It's fine. It's not diabolical the way some people are suggesting. It's not the funniest or the best but there are some moments.
Some people are freaking out over 'leftists propaganda' or that's it's anti-Trump - you may want to see how the film handles the Clinton-esq President because it's not favourable! lol
****spoiler
The real mystery was how anyone was meant to be taking flights around the world when there was a global black out. It seems to be a key ingredient to the plot so surprised this was just overlooked even during the screenwriting stage..."
14,"First 15 minutes ok , then concept wears out pretty quickly
Was very bored after 1 hour of movie which has an overlong
running time . Score 5 from me ."
15,"When the world is a mess it's nice to relax with familiar faces and voices. Mellisa is her charming, funny, quirky self in this movie. She is supported by the perfect lover Bobby Cannavale also quirky and charming, and her husband popping in at fun intervals. They do a mini Ferris Buhler's Day Off and reference a lot of things from a gentler time. Lots of nostalgic music to add to the cozy feeling. James Corden's soothing voice is perfect as the AI for the funny bits and the friendly banter. When AI decides to follow someone to learn about humans there are times you think about what would I do in those circumstances. Nothing too deep but an updated will the ""bad guy"" really take over the world and if so why. What could be done differently in the real world to change the outcome.? Sit back and relax enjoy the laughs, the clever writing, and the familiar faces. It's time to feel good."
16,"Almost a one woman show - Melissa and a pound of her favorite plaster compound. If they had to put that much on her, they should have just stayed away from the close-ups. I struggled through the whole thing with the help of FF. I kept waiting for - anything! But, nothing. I could have mouthed the script along with Melissa. Not one original line. Every concept borrowed from some cliche end-of-the-world 50's and 60's flick, but with an oh so worn out Hollywood ending. Couple of token black comedic ""actors"". Yeah, the NSA never employed anyone that stupid. I assume a lot of Melissa's money went into this. In her string of lame forced comedies, this is up near the front of the pack."
17,"Just as Carol Peters is listed as the most average person in the entire world, this movie similarly fits the part of most made-for-streaminng titles. It's some nice, innocuous fun that provides some pretty good jokes (with a few belly laughs) and a familiar storyline that is neither overly offensive nor particularly mind-blowing. Pop yourself some popcorn, pour a glass of wine and snuggle up to your partner and turn your brain off for 90 minutes while McCarthy provides some pretty good entertainment."
18,"Melissa, stick to drama roles started, you had interesting characters in that format. This movie is one of of the worst cheese put out with you starring yet. A thanksgiving turkey, not the full with love. Bobby you had to have had better roles offered to you. All in all, sometimes you need to reject what presented to you. Do test audiences with line readings and small portions showed before release to masses."
19,"Please Falcone, quit directing bro! your last movies with Melissa were awful.Melissa is just an awesome actress, i adore her always but the material here isn't good enough, she tries to save it but it's just too far gone to salvage.it's a romcom doomsday scenario.. choose one or the other dude!! they don't really gel, yeah? there are some slapstick laughs but not enough to warrant losing nearly 2 hours of your life.give it a miss."
20,Thought this was good. Easy watch pretty much what u expect with a few laughs. Great for movie date night.
