,0
0,little late slasher movie look like really wanted release date surprise way fun think think another generic teen angst alcohol drink sex thirst movie kill start happen gory also quite creative movie know exactly never take seriously watch mean bully die horrific way satisfy watch one importantly reason watch foot giant man run around teenage girl way speak subtle mannerism plain funny man woman mean negative mostly write everything family bore predictable probably generic part movie lazily tell everything need know soon introduce also hate movie portray character ugly undesirable actress anything word want believe kind weirdo loser never buy also disconnect shy timid quiet girly girl talkative fun felt like different people also sort two ending natural conclusion everything good go another minute unnecessary annoy trope poor write fun self aware movie horrific kill really funny body swap moment fan slasher twist fan watch scumbag bully get come reading
1,movie surprise watched expect see another slasher something else comedy right violence good kill quite literally great flick laugh watch great gore scene
2,love knock park teenage girl character really pull script point movie entertain entertained film issue take movie seriously mean realistic slasher entertain fun teenage horror comedy damn good one forget talented beautiful great make great serial killer work star
3,absolutely love body swap comedy also absolutely love horror slasher like combine different genre dream come true glad get positive review deserve great fun watch sweet shy vulnerable high school girl name bloodthirsty serial killer great also fun see evil killer turn act like teenaged girl gore killing awesome brutal average high school girl family go tragedy father die year ago get picked peer even teacher night dance sit parking lot begin attack stabs ancient dagger stole make switch body wake girly bedroom wake gory grotesque lair must convince friend killer body switch body back hour switch becomes permanent day body go bloody rampage fun watch love body swap comedy gory horror slasher definitely recommend freaky
4,expect much usually avoid type comedic horror movie surprise liked great job act like teenage girl good mix humor slasher movie cheese factor lot less thought great glad take chance movie worth
5,saw trailer firbthis cautiously optimistic look like meet really good course type horror comedy take seriously funny scary premise trailer show high school girl get attack serial killer switch body serial killer play high school girl play attack killer sacred dagger power switch body fun film watch adjust new body good job thin script go around look evil film gory nothing never see much well films couple decent chuckle see film want convince really cool edgy really film
6,might cheesy little cliche good mix gore laughter jump scar movie well paced well acted interest character enjoyed likely enjoy one
7,brilliant majority cast script story pretty poorly do
8,one find stupid unoriginal go hyped movie sadly disappointed gotta say
9,movie exactly expect go fun start end quite good funny gory emotional scene throw every give lead actor great job straightforward cinematography act script keep hook screen add movie quite bold good way challenge norms love surprised trashed conservative summary must watch
10,finally crystalize late kind high concept genre cinema use release regular slightly high budget follow two movie filmmaker bit rote come totally adept natural least clever sensibility regular comedy writer director take concept see often echo obvious sure even couple minute see lot teenage girl embody serial killer high compliment think grant us rating hilarious bloodshed body part come apart point take po mean somewhat neglected bully teen girl funny check calendar holy sheet man year give open ten minute raucous insanity moment inspire dialog commits completely embody type also make human well swapped course town call especially go town perfect stare get fun violent psychotic type know get knock around lot teenage girl falter cast write patriots voice gay best frieeend sorta wake black girl brief notable moment mean heartfelt scene mother dress room door exoected work well edge excels self conscious know horror comedy occasionally go draw suspense shock mean bad nothing see keen light haunt indoor mini golf set think draws giant belly laugh kind joke dialog even physical comedy logically do execute enthusiasm two game performer ideal party movie teens many stripe give want sequelboot know get time come
11,hyped movie honest pretty bad act terrible main character charisma carry film
