,0
0,life time yet watch movie like make entertain amass concept value next level whish say even watched movie like industry someone say movie good story probably person know epic story movie best unbeatable sound make amaze whole movie even saw single scene logic hit film ever superb emotional beat even make cry cast make best action make film best end pace dialogue edit cinematography camera work costume design etc do best make movie well
1,watch movie suriya top notch performance
2,soorarai potru inspire tale lot life much say one word describe master class work impact brilliantly script outstanding performance chain remarkable making cut wana review suriyas performance one career best love performance varanam aayiram one treat gem sort aparna balamurali deserves applaud natural act least captain sudha kongara work perfection must watch movie lover king back
3,watch film comeback direction superb watch family good motivational film movie theater sad relieve face
4,do great job background music give strength whole fro start till way movie move
5,watch feel watch awesome one extremely awesome movie
6,inspirational movie worth watch dream fly matter come fly actor nail movie much realistic director mam female also make male centric masterpiece star mam awesome much natural movie deserves filmfare national award red heart
7,movie kongara hit home run pack performace usual balamurali surprise good good good wish big screen particular scene try buy ticket definitely move heart ode common man
8,motivational story wonderful act suriya airport scene
9,story tell unnecessary song unnecessary action sequence pure act performance whole team especially say back expect good movie future
10,one best movie surya excellent make sudha kongara one able thing music cinematography good movie great performance paresh rawal urvasy aparna kongara gem indian cinema
11,watch movie sir act movie live movie
12,watch feel good movie act vera level
13,good flim ever watch inspirational movie base gopinath
14,definitely best movie movie perfect movie bgm best actor definitely get ready handkerchief tissue emotional ride movie watch film love
15,really love movie conveys strong message give dream make dream true hardwork do fulfill dream awesome splendid performance suriya sir must watch movie ngk
16,best performance surya sir carrier literally live character
17,movie really motivate encourage struggle succeed dream performance really exciting expectation mode story tell really good every situation explain reason behind need make common people fly along rich possible low cost everything reason restrict usual rhythm action fight scene build realistic scene expel masala scene enjoy
18,long time since good movie surya glad soorarai pottru every frame amaze also star like aparna balamurali urvasi paresh rawel outstanding need like
19,movie performance awesome background score gvp
20,get back fall short praise truly live character movie year
21,performance suriya make prakash music good
22,director bring concept realistic way direction dialogue act start end cast superb background music support cast do excellent job love see film theatre cheer film forward movie director
23,film attract type audience long time watch good film
24,act vera level bgm awesome direction extreme level performance different thank sudha mom
25,think big turn point journey hat director never saw movie like life
26,variation another big asset underrate dop
27,inspire emotional movie live maara act screen play oorvasi act class watch clap hand
28,express see film performance do magic
29,inspire story revolutionize aviation industry land cleverly package dramatic flick awe never see truly captivate performance even minute expression strike hard character full fire amuse terrifically write character chemistry lead something talk multiple sequence sparkle eye create magic support artist purpose do complete justice role bring emotional attachment begin get highly invest feel character goosebumps guarantee mood scene carry get transformed viewer crucial part filmmaking art loud applause director team liberty utilized perfect level know limit audience okay believe place important part flashback scene perfect example film never lose focus story point level certain situation sure increase pulse rate much go screen beauty clearly convey flow seamless add much value subject naturally place word choice slang bunch memorable scene business meet villain flight sequence interview climax stand musical treatment rich song impress already visually good couple minor fact open number choreograph well manner song cut shortened film camera work outstanding work costume make apt timeline set tiny jump cut look odd otherwise film neatly edit slightly stretch towards end vfx good flight air shot ott release streaming
30,many goosebump moment director appreciate whole heartedly deserve deserves performance
31,one best movie gvm song background score world character give importance mongara bring best every actor overall semma movie
32,direction bgm act etc movie treat surya fan love cinema content enough make glue screen level performance way believe praise good cinema
33,must watchable movie awesome story challenge attempt successfully do model kind story
34,comeback vintage level sutha career best ever movie totally movie remarkable tamil cinema
35,best surya cinema history feel emotion woth act wise awesome
36,movie good thing smile face halo best movie job soorarai potru team best view
37,back amaze one best level act background score amaze plot hate movie bet perform well small role also remember folk
38,movie actor nail best movie career comeback watch movie miss
39,must watch movie suriya act level suriya sir awesome
40,movie surya carer act top sudha kongara hat offf
41,else require perfect star rat film do standing applause team air novel think reach million people yet people look first option travel place sudha mam suriya sir
42,positive connection emotion place part movie slow song enough hum say search negative take min get frame negative swear star remain one releasing theatre
43,well make movie performance top notch camera work property wonderful watch
44,fine film see lifetime brilliant screenplay fantastic act excellent background score good camera work
45,well make movie measure commercial element decent background score play act rock hand hand primary success inspire tale easy make movie kind minimum budget ott platform credit go director perfect execution great team work blockbuster even big reach class people movie get release theater
46,nice movie super act act suriya direct sudha madam
47,must watch surya back boom core scene act perfection storyline awesome overall great movie good comeback frm surya
48,fire miss theatre gold hand medium light skin tone material best film actor delivers tour force performance take skin mass entry build scene yet lead character give much goosebump take bow usual nail every bit character dialogue powerful emotion unique stag emphatic victory round completely enjoy watch hand medium light skin tone
49,inspire mam screen present vera levelp bgm lovely anna carrier one best film new mile stone
50,word inspirational movie decade unbelievable movie actor make cry many scene female lead exceptional aparnas chemistry good legendary actress urvashi steal show many scene watch gem regret
51,best inspirational movie indian cinema wonderful movie act scene surya die beg money reach father scene make tear eye sure heartoching movie
52,act love film best story screen play direction different variation body fit mind blow nice movie
53,best movie year fantastic achievement team phenomenal super actor team
54,outstanding performance brother well etch character play role well motivate director entire team excellent execution keep fly high
55,request everyone watch prime every view count
56,movie elevate real hero kongara direction excellent movie actor movie excellent best work carrier
57,give simple earth movie without exaggeration performance every major character brilliant someone give different acting opportunity make cry smile along steal show many place woman character woman director brilliant filmmaking downplays every big moment film use subtle reference good act instead mass masala style reveals
58,back hotel scene airport ticket scene extrondinary
59,lockdown watched superb movie one best motivational movie
60,back masterpiece well acted believe first film direct direction scene make cry harder watch great work fire
61,sudha mam level hundred point sooraraipottru top hand
62,movie hand good inspired movie assume best movie tamil comeback surya sir actor good acting also direction well superbe cinematography bgm outstanding thanks movie surya sir performance deserve many many award felt sad movie release theatre thanks sudhakongara outstanding movie
63,film nice inspiring every one movie do thier maxi must watch film really miss lll worry
64,performance peak level act movie live maara expression minute actor come back blockbuster movie suriya sudha kongara make happen moment cinema
65,blow movie great movie time love way story tell cinematography director movie do great job actor do great job personally recommend everyone watch masterpiece
66,performance good enough keep audience engage movie
67,must watchable movie act actor especially mam must need appreciation outstanding performance bgm also outstanding screenplay well make etc negative say thanks lot director mam bring back vintage red heart
68,movie cult masterpiece everyone performance really natural fire sir act level top notch see change act make look like real natural cult masterpiece nail truly world class bgm song film chartbusters initially question roll watching film really nail
69,actor nail every scene eligible get award year perfectly balance kongara fine female director elevate every scene awesome movie must watchable worthy inspirational emotional film
70,story inspire true event make common man fly long time give carrier best know true read somewhere dream project bet movie shot perfection character movie waste everyone everything movie life especially planes movie inspires fight dream
71,back bang direction kangara act really well film screenplay good give goo sebumps sebumps
72,best movie plot revolve around fly make possible everyone low cost performance good emotes well various scene movie must see enjoy air travel nominal cost appreciate hardship face bring luxury benefit everyone enjoy
73,watch film nice performance character espicially act beast sure
74,movie give great experience really treat watch actor great job scene outstanding short comeback real actor direction superb watch
75,must watch film never miss film legend act surya
76,nearly nailed amazing act screenplay extraordinary another blockbuster hit sudha kongra
77,hardwork act win heart character film soul touch biopic do great picturisation thing boost film dialogue minute film intense fan theatrical response miss
78,fine movie every scene act movie among movie watch
79,long time watch meaningful good movie
80,good movie suriya sir socialist many thing student
81,movie great story line movie expectation must watch movie maaraaaaaa jayichite smile face heart eye
82,direction best bgm prakash good couple film perfect good come back suriya sir recommend watch soon great inspiring movie
83,fantastic movie carry shoulder start end
84,hundred point best movie hundred point suriya vera leaval red heart one best movie
85,seriously love movie enjoy many day get something new watch enjoy new fresh need talk act hero surya doubt surya nail every inch movie completely involved character movie gonna best among one thank every single person movie part movie make happen happen make see like
86,good cast performance conflict best strong lead bgm
87,rock show screen play excellent character well write vijay baillya role surprising
88,make right drama reality course cinematic
89,phenomenal movie sudha kongara expect much role maaran perfectly portray nadippin nayakan suriya others handle important role also perform well
90,sir act mind blow mohan babu sir sir show class rest character job hat kongara medam
91,motivational film complete entertainer must watch complete movie sudha kongara act appreciative miss movie must watch never watch movie like dialogue good perfectly cast movie movie motivation watch
92,movie must watch really story kannadiga must watch guy
93,entrepreneur eagerly wait movie year inspire movie
94,film amaze work crew especially go energize white medium star
95,film perfectly pour true emotion dream sacrifice hardworks much reality normal person huge dream achieve wish crew cast success hope see airline like fly later sooner movie watch hundred point
96,movie ambitious person match passion prolong struggle determination hard work victory film movie list act ever
97,best movie nothing amazing hundred point do fantastic work movie touch inspirational prof best really deserve national award movie also deserve much thr cast make movie best sparkle heart enjoy worth watch must watch movie suriya face blow kiss
98,telugu fan movie enjoy suriya recent movie ngk despite perform commercially well huge disappoints suriya film movie perfect comeback suriya felt movie realistic except mass scene show hero personality performences amazing movie justified role movie set production value nice amaze director
99,movie iam entrepreneur iam work hard implement idea get investment movie like give inspiration many people like bibeant afraid thinking big best movie decade
100,say word suriya career best performance mentione director aparna balamurali
101,performance mind blow multi package movie extraordinary act suriya long time hatsof director brilliance
102,execute movie inspire everyone focus society equality dream privilege lot many layer problem reality speak film sure something everyone
103,surya back bangggggg get scens real treat one wait surya movie
104,class performence act department bgm really class exceptional performance especially army cap get know father critical condition really heart touch performance perfect good movie
105,long time see best movie super act actor truly worth time watch
106,film exactly want actor also performances give different level feel good movie like move
107,one word describe movie simply amazing fire
108,ever feel low life watch film film make performance sir nadipinnayagan collision
109,tell comeback anna commercial movie rule box office style act leave hater speechless scene movie fill exterme emotion either sad angry love single frame light good actor socialist well person idol red heart
110,wonderful movie sudha kongara perfect cast perfect direction complete entertainer amazing must watch
111,acted movie live back see potential film expect upcoming film mam great effort side gvp also word express excitement see film may situation scene need money might fill tear heart touch scene thanks wonderful movie
112,story background music direction support character best live mara deserve national award act
113,one best movie recent time comeback masterpiece
114,stand movie watch movie say every body everything become success cast crew member
115,movie set backdrop aviation true story captain life wise suriya confirm award worth performanceall character movie good enough love director sudha kongara ring master use lion proper way special thing like director movie extraordinary performance
116,inspirational movie must watch back long time
117,expect typical tamil mass masala movie beautiful narration extraordinary story
118,movie make good version live wow
119,awesome man suryaa watch long time surya get hit movie damn good man
120,amazing movie level man dream super
121,best ever movie watch really amazing hat suriya sir
122,tall every aspect movie cine fan leave golden era great actor two woman carry role perfectly father play come duration make cry intense everything take comical side movie good star do best clear winner
123,give rating surya also good though must watch
124,ngk bandobast film get disaster inspire realstic surya act well story line simply great
125,soorarai potru movie really great personally liked surya sir attitude look good screenplay cast job well perfect comback perfect treat kollywood fan music fire kongara mam give best output also best hundred point
126,great drama laugh cry fall love bhet batter get win
127,sentimental scene make cry loudly cry face performance way merge character absolutely mind blow
128,outstanding write outstanding acting excellent music excellent cinematography excellent edit good production design good make costume good vfx well work adrenaline rush film great write impactful performance cast
129,back bang write direct outstanding depiction life story actor do justice role film enjoy power common man eye regret people able enjoy inspire movie theatre music add much gravitas film film friend family treat
130,great movie act directed sudha kongara
131,best performance surya best screen play heart touch scene act movie people fail life
132,watch top notch inspire whoever watch
133,enjoy movie back pure act performance whole team especially say back expect good movie future
134,vera level movie super watch super act good casting good story must watch movie
135,plot usual character show best whole team
136,good inspirational story best act good screan play best movie cinema one best favourite movie ever
137,movie guy act direction awesome special mention sir duologue really awesome
138,wonder fully fantastic movie surya movie ever tamil rating
139,movie soo good brings tear eye act must watch movie
140,best year sudha kongara nail every scene perfect
141,sir best perfomance national award win performance filim filim emotion
142,always great one masterpiece biopics great act wonderfull screen presence
143,perfomance sir nail sir mention mam happy watch film felt like watch fdfs start stream screenplay lag anywhere entire team suriya sir fantastic performance
144,back form story excellent excellent act excellent act whole crew
145,awaited movie release today suriya balamurali act take movie next step kongara direction inspirational movie everyone watch
146,movie break limit tell story man keep try face like infinite number obstacle keep get hard finally succeed suriya act deserves award movie kongara direction exceptional though little bit lag second half movie exceptional whole
147,watch surya anna vera level act hundred point
148,movie inspiration young people want achieve goal every cast crew live role word already prove wonderful actor watch movie really felt role movie great experience watch movie guy miss movie soorarai pottru thanks director choosen real story great achiever
149,act screenplay major positive background excellent suriya act give life film
