,0
0,prove mettle brilliant comedy drama barfi magical musical drama jagga jasoos venture rarely attempt genre black comedy cinema nail completely multi narrative story often confuse movie fine edit see recent time like one perfect
1,movie feel like movie make international level yet feel absolutely indian movie best indian cinema international cinema every actor shine respective role feel good people call plain dumb want movie make want show indian culture perspective judge give feel undermine great effort people think nepo product hindu phobic
2,film start somewhere like film real early insight happen slowly give birth world really special film execution execution unique keep hook story film rightly name show many parallel board game end scene film extremely symbolic think phenomenal role calm mind yet violent like much character character much like usual fabulous act female lead put forth commendable performance truly gem cinema much potential yeah compare father cause much different overall film really good unique superb direction one best film bollywood year till
3,speak watch consider average movie although wait since long frankly speak amaze must watch movie grip many twist turn
4,really sick tired pandemic situation watch movie work medicine work rao kaleen bhaiya ofcourse anurag basu say movie ruin hindu mythology kind stuff watch people talk humor chemistry story want ask really understand word comment easy make movie specially work situation one move house emergency guy stop write illogical thing write feel genuinely
5,great storyline talentless people say boycott gang give bad review without watch try support talent really appreciate effort film
6,well write lengthy story boring miss
7,movie write screen play dialogue movie teach beautiful lesson life rao sir cast do job brilliantly
8,black comedy rare cast good act overall story fresh fun make entertainment mass highly recommend
9,masterpiece story keep shift one another roller coaster ride thrill yet smooth story tell ability class apart like buy entertain story build traction get every character awesome usual music still chant hardam harpal
10,must watch movie nail completely message sometimes happiness outscores practicality also sin overrate mostly misunderstood deliver well read line
11,expect much watch trailer talk movie write good screenplay little confuse problem explain moment really nice specially story collide brilliant character shine also give good performance song remain succeed leave smile face
12,begin till end movie make second skip like single song scene felt like skip best release indeed storyline omg twist yet approachable amazing red heart movie felt like got end min thn min plot turn upside hundred point lastly concept felt unique
13,great movie every second cast never let feel bore movie rating instead recent movie get rating iykwim
14,good watch dark comedy bollywood like make rather mediocre comedy like feel like movie make audience theme definitely feel inspire movie style theme
15,sense humour screenplay beat act big thing time dialogue good interest especially tripathi always direction skill show director however room edit movie long around half hour good nice idea
16,chaotic yet fun watch film unexpected dark comedy anthology case life game ludo character like player ludo criss cross get second chance draw parallel unpredictable game ludo stitch four different story together come delightful piece filmmaking unique experience cinematic viewing character get ample opportunity shine actor play never miss mark yet steal show play role gangster bundle talent create entertain character help gesture expression play role lover willing extent sake love extremely endear stand antic get always likeable angry mode play role tough guy soft heart lot brood intensity outstanding scene meet daughter long time real surprise well interesting character voice modulation mimicry do effortlessly amaze lead lady also play interest role play confused character manipulative one do great job create another melodious soundtrack song seemlessly place narrative betaji old evergreen song use humorously story four colour ludo game use intelligently film talk karma well philosophy life lighter vein brings smile face rightly mention interview mad world create team sit back enjoy crazyball comedy like game ludo light breezy entertainer perhaps best watch weekend
17,many ordinary movie like star finally get original project right script perfectly plant never easy maneuver story atleast lead per story thesame time much interest script perfectly craft never realise movie hr long
18,know play audience yet another example creative film make director way character introduce way climax present outstanding must watch film
19,film amaze starcast act story best film
20,good story direction narrate character suite per story flaw worth watch
21,dark comedy many unwanted thing desire disaster fragment truly talented actor character struggle four different story yet connect aspect feel like confuse brilliant transaction among story make movie enjoyable watching
22,every character movie well connected story climax full point movie time
23,good moive character osm full pack romance thrill action drama hand
24,good movie regret watch different story inter relate others lot funny scene
25,pretty excited see love cast director put interesting experimental film like film director like board game show four different storyline connect fate perfectly honest feel quite mixed certain aspect appreciate choice frankly annoy rare see director cinematography film time see happen directedón like use four colour board game red blue yellow green present film many place whether costume vehicle light building make film look really good suit film title really well black comedy dialogue decent get best one quite laugh entire cast great job great see film long time always consider underrated great job give restrain performance lot emotion come eye conveys pain go really well fun watch great usual great together pretty good well excellent like relationship another one highlight film couple narrative choice bug view film serf narrator discuss film theme character trait choice really bring film wish let figure overall meaning purpose film rather hold hand blatantly tell background score also tell feel scene something funny happen comedic music start play case comedy speak film also pretty long feel cut think abundance song add much pace second act tighter couple special effect use polish yet another interesting film problem really bring film lot people seem like see want recommend see already think film well job genre
26,love character every story plot amazing black comedy laughter express
27,basu entire team flat form good act sana sheikh act expose good story music pritam dada
28,movie excellent story act screenplay direction department good job long time good story bollywood
29,movie another level direction screenplay strongly recommend one kind movie
30,lot anurag basu make wonderful film sick tire watch age actor love way story narrated character impact eachother life feel glimpse burfi also amazing movie paisa vasool movie
31,paisa end smile regret watching movie
32,entertain watch character well elaborate story way unfolding sequence like always play part fantastically kid cherry top
33,story flow others everyone play role way perfect dirctor writer others associate deserve thumb
34,screenplay superb act every single character important watch movie
35,see fun film lomg time pankaj tripathy steal show rajkumar rao good watch two guy rest everyone good
36,amount energy put actor story primarily unmatched
37,much fun excellent humour outstanding performance last least good direction edit complete movie
38,edit great screen play live role minute fly
39,watch great movie one always kind magic cinematography film one exceptionally great movie
40,medium good director convey lot without word fine moment like also deft storytelling touch like two character movie open intriguing metaphysical discussion action character climax tell two important movie make interesting enjoyable complex intersect story line screenplay edit camera work generally excellent performance actor even relatively less known one uniformly good plus unexpected artistic extra make reward watch movie downsides climax roll around big relief plot feel overly stretch length cut least min continuous intersection story line feel force point subplot involve little girl spite charm performance girl story line weak predictable omit improved movie plot device overuse know talk watch comedy movie deserve overall rate
41,ludo nothing anty hinduism movie movie deep message everyone life ludo ludo life line completely match storyline movie everything brilliant
42,comedy thriller tell multi linear narration revolve around character like sattu bhai gangster former aide bittu stand comedian akash girlfriend shruthi theatre artist hotel owner alok lover pinki nurse sheeja salesboy rahul character related connect together rest film start watch film rajkumar rao pankaj tripathi abhishek bachchan root get hooked track character bittu meet mini inayat varma chemistry heartwarming delight watch scene meet daughter make emotional perfect comeback junior bachchan rao impressive love long hair tripathi brilliant usual climax satisfy digest sattu bhai ruin bittu life end enjoy happy family life bittu get sad death like pinky kill husband get rid way whole ludo entertain film make laugh cry time multi linear narration one never get confused best ott film release bad time
43,justt wooow enjoyed till end one best movie nailed expression emotional work well juniorbachchan role emotional
44,delightful laugh riot feature motley crew quirky character keep hooked hour portmanteau tale interconnected storyline resurface sex tape child kidnaps attention delight refine gangster alongside adorable also excel role steal show top performance beleaguer keep roflma throughout three stooge like act unpredictable funny thumb whimsical albeit nonsensical tale
45,good entertain movie bunch good actor good script want pandemic watch
46,worth people say movie hinduphobic bhosdiwalo jindigi yahi karte karte gujar jayegi tumhari line movie narrator say nothing wrong nothing right perspective true tho
47,full feel rat film maker director best love performance specially dangal girl want new world see evil monkey
48,waste time bore story screenplay black comedy laugh second thinking movie end movie go haywire one another much confusion much boredom purpose good act story bad never recommend film like anyone
49,see star cast along director name expectation really high fill talented people unfortunately captain ship control proceeding movie lacklustre word wait thing pick unfortunately never leave wonder exactly go movie different storyline important aspect keep viewer engage interested fails never interested story show leave wonder even make movie flaw shine avoidable
50,give star one understand movie impatient concept great act well verse long time watch
51,watch lot well movie far well execute edit clearly feel already watch scene story sort past year combination
52,usually watch new movie show decide watch reason two half hour cringefest felt like watch nickelodeon swear never watch sillywood movie believe netflix original
53,unrealistic portrayal character situational portrayal match image character play mix match unwarranted roller coaster make lengthy drag
54,movie ever pout face proper picturization good movie thumb
55,lose brain rabbit hole keep audience continue watch complete nonsense star cast waste ridiculous work director writer
56,one best movie watch know guy want boycott give chance movie watch least one time
57,want waste money time plzz watch movie wink face tongue
58,need break stereotype bihar movie everywhere web series movie basu class
59,deeksha didi sahi masterpiece roll floor laugh sir rock
60,movie nothing less masterpiece must movie make writer actor special mention change roy character fun treat eye
61,movie certainly everyone people like really good attempt give
62,great twist story line need movie way story line connect
63,one kind undoubtedly one best character enhancement marvelous visual depiction everything make love surreality film last least classy cinematography keep chaotically intact
64,one best movie worth watch enjoyed every second performance epic story watch enjoy masterpiece
65,comedy movie andhadhun bollywood expect come surprise story pace fast
66,wonderful movie must watch movie available
67,movie worth watch great acting character necessary eliments movie powerful screenplay unexpected story tell great act others miss movie great watch
68,movie best film film act well specially inayat verma do amazing work basu film
69,movie deserve accolade coz class apart
70,movie eye catch performance last least character good well
71,provide really comedy song also lovely red heart
72,roller coaster movie class act well inter twin spectacle anurag basu india tarantino even goto win award vision execution movie movie inspire watcher non actor lay person wish part movie somehow strike chord game winner
73,another come different story intertwine intricate manner create utterly hilarious violent situation star film writing complicate screenplay direct mastery also picturising beauty come ridiculously quirky avatar heartwrenching performance music also stand film sometimes overindulge narrator thing really add anything film depress due watch give one fabulous time
74,expect black comedy good mixture emotion laughter chemistry character superb scene perfectly connect best crime laughter black drama comedy movie background music superb
75,age movie release ott platform manage intrigue recent past much late original start catchy open track yesteryear legend famous song appeal start quirky narrative criss cross character highlight anthology observe pair commentator include director second anthology film multiple character get introduce one one storyline randomly run back forth aimlessly begin wonder actually go one big drawback movie ensemble cast deliver credible performance usual gangster best apart really stand fan avatar fun sometimes docile sometimes trigger happy woman scorn revelation end quite often middle movie try get preachy say everyone version good bad subjective ruminating concept sin virtue importance second chance unpredictable nature life somehow individual tile lead elusive home sadly game lose
76,get like make sense type movie require different sensibility audience generally lack like movie gold
77,appreciate work do expect future party popper
78,character awesome one best comedy movie ever make pankaj tripathi work well always actor palyed role fantastically must watch movie
79,outshine everyone well rkr gonna impress
80,lot illogical thing movie enjoy laughter get watch story lors twist turn shot
81,tell screen play direction good character connects perfect way portray suit act brilliantly hand get messy continue entertains smile face heart eye
82,judge review masterpiece movie good love cinematography everyone performance entanglement everyone story amaze miss
83,true masterpiece like andhadhund direction anurag basu absolutely world film comedy drama action romance masala every bollywood movie need
84,well write play movie second half movie hilarious beating odds
85,decent movie gripe length guess get lazy edit know go straight ott track weak brood expression show variety get boring sauve gangster look phenomenal well meet canvas
86,edit direct great intermingle story get like logically conclude film best character story girl man incomplete
87,funny poignant root character fall love even apparently villainous one crisscross storyline comedy error thoroughly enjoy bhi yaaron apna apna pheri another classic making must watch
88,star give full star slow screenplay half nonsense logic less scene everything good
89,funny direction top class cinema change glad finally happen
90,movie contain awesome story act also best do well rajkumar rao make space heart act
91,love beautifully weave film perform really well yet prove actually great actor story close heart movie weekend scene try look daughter best
92,charector do job level rajkumar rao outstanding
93,thing real talent indian actor definitely ignore gang star gang watch movie popcorn
94,person th cast make work precisely good
95,ask whether good crazy crazy man watch even half second move eye good kumar rao role make stream
96,act rajkumar love part abhishek bachann cute girl pankaj tripathi amaze usual
97,watch full content intimidate chemistry character also noticeable
98,honestly say best movie see year genuinely funny humor part best character
99,film turn brilliant bewilder totally nuts sensory explosion colour humour philosophical sensitivity passion aggression veritable delight refreshingly original much sink teeth ponder upon cast team must put huge amount effort energy gem film
100,ludo hand best film come film industry long time say last couple year rollercoaster ride thrill expect
101,well impressive movie special entertained movie song boorings
102,bad movie movie try join story together miserable job
103,act veteran along novice actor brilliant performance
104,see pathetic film never imagine bad movie allow release
105,movie actor perform well direction big let
106,rate story act skip rather call dark tragedy viewer
107,entertain movie enjoy every bit combination crime dark humour feel boring direction amaze actor great job music well
108,feel write even waste time write pathetic movie
109,sudden scene reference really complete miss time people come rich content need sake
110,year many wannabee plot fine dialogue engage act chop carry movie shoulder well stylish screenplay time movie relate music disaster well usual bollywood crap obviously skip altogether may enjoy one taste right
111,thought series good diwali watch turnout nightmare real shiiit
112,waste time senseless movie act understand give acting offer role sjust father time people start find real talent instead good nothing star kid
113,story movie story well tried propaganda difficult finish movie director shame waste precious time watch movie want waste time regret waste precious time life
114,bore tire movie waste precious time
115,boring movie logical sense multiple love stories one movie understand dark humor movie risk
116,big waste time senseless dialogue ugly way worst comedy film ever release big waste
117,content story line whatsoever good flashy visuals
118,black comedy others last bad screen play
119,bore predictible wanna watch insult left right center watch faltu
120,movie torture active give good rating cheap movie worst movie
121,content casual bigotry towards hindu festival completely unnecessary plot line yet feature sole purpose spread hate
122,disregard sentiment hindus god show god beyond creative freedom acceptable level deliberate insult
123,start insult sentiment another movie award waapsi gang try divide basis religion
124,drug addict bollywood actor flim maker must boycott
125,enjoy make fun hindu festival ahead watch
126,movie rating give either dumb pay movie start intend joke pathetic flop actor get failed game
127,stand watch min bore waste time money
128,well always make fun hindu religion another nepotism product bollywood sometime movie slow
129,one thing waste money may thing movie take self make actor real thing take mafia earn something name actor waste money
130,disappointed recommend anyone waste valuable time
131,film insensitive belief million across globe mock riddicules beliefs ritual poorly make bad taste value watch
132,bad pathetic movie feel sad talent choose good script watch disappoint
133,waste movie poor track unconvincing moment desire impact make marginal one time watch
134,confuse central theme mash story connection story randomly keep pop without actually come know exactly happen one rather play ludo online save time brain well
135,movie capable keep person one place two hour want miss minute movie lot thing happen part story screenplay feel like move around one epicentre story give defination love way malhotra rao rock screen felt bachhan one new couple little weak performance nice role scene still unable prove direction imp edit film difficult nail really fun watch movie watch
136,insult hindu god godessesdisgusting movie insulting indian hindu religionmaking fun india top national reporter arnab goswamibollywood full corrupt drug addictsall fund mafia dubaivery bad movie
137,hinduphobic movie aim disrespect god stupid play story line like bomb show good shud accept
138,multi starrer anurag basu direct original film fan musical film however love multiple storyline come together end ludo film fast pace edit pay attention every single second order keep storyline also certain scene appear edit multiple storyline progress frame main quality fim stand write starcast delivers impeccable performance actingwise overall fun rollercoaster diwali ludo
139,hinduphobic series work native indigenous people colour
140,waste money make fun hindu god third rate gutter comedy recommend watch movie
