,0
0,"Before the competition part movie was good.....Then comes the most predictable part of the movie ... ""the competition ""....... nothing new ..... felt bakwas type of feeling......."
1,Nothing unique about the movie. Predictable story. weak storyline. One time watch.
2,"After the outstanding web series Scam 1992, director Hansal Mehta delivered another entertaining movie. But this time he switches to a light-hearted zone. Chhalaang marks the fifth movie of actor Rajkummar Rao and filmmaker Hansal Mehta after Shahid (2013), CityLights (2014), Aligarh (2015), and Omerta (2018).The movie has a simple, little predictable, yet enjoyable plot with a good message. The story also deals with the importance of sports education and gender parity. The first half has well-written characters and smartly written humour. The second half has well-executed Basketball and Kabaddi matches, although there was still room for tighter editing.Rajkummar Rao never disappoints, he again delivers a diverting performance. Nushrratt Bharuccha gave a charming performance with her lovable Haryanvi diction. Mohd. Zeeshan Ayyub looks convincing as the competitive PT teacher.
The film also has a great ensemble cast, Satish Kaushik, Saurabh Shukla, Ila Arun, Jatin Sarna, Baljinder Kaur, Naman Jain, and all the young actors delivers a terrific performance.Direction 3/5
Acting 3/5
Dialogues 3.5/5
Story 2.5/5
Screenplay 3/5"
3,"Rajkummar Rao and rest of the star cast act brilliantly.
But the story is routine, and it's treatment, execution very ordinary. The climax is very weak.
Background music is standard; hence the desired impact of the critical scenes are lessened to a great extent. The film could have been 15-20 mins less. The direction isn't extraordinary.
So overall the film turns to be average. Music is decent.
It's a one time watch"
4,Good Family Film.Rajkumar acting is Mastermind. Such a great story.
5,"The first half of the movie is nice but not that good. The second half of where the movie loses its charm and becomes predictable and slow.
Don't expect too much from the movie.
You may like it if you have low standards.Looks like bollywood is still living in fictional world, I'm from Haryana and if a couple are found hanging out they are beaten black and blue, but here they are going for dates specially in city like jajjar. And meeting guys Father.
Eventually the girl will always end with the hero and in this case job too.
The movie doesn't makes sense in the second half, it's like Sultan where he does training for one month and he beats the world chapions.
Over here they had turned nerds into professional players within few days.Very disappointed and dissatisfied.
Lost my previous time.
I wish I could get it back."
6,"Chhalaang is an attempt on the miserable yet reality of the sporting system prevalent in the country. It targets the frivolous nature of PT as a subject in schools with subtle yet powerful gender inequality still existing in society.
Subject looks impressive and the hype it got before it's release sets the expecting sky high, something which it fails to live by.
Hansal Mehta coming on the back of a blockbuster web series 'Scam 1992' somehow hasn't been able to make this as exciting.
More often than not you might have deja vu with ""Dangal"" and ""Chichhore"". The predictably of the script adds to yet another reason for this not living up to expectations.
In no way it's a bad movie, but definitely a good distance apart from a ""WOW"" movie.
Absolutely a good watch for entertainment but don't keep very high expectations.
Rajkumar Rao have life to Monty and was brilliant as always.
Nushrratt finally got a more character oriented script and she has shown quality and real glimpses of her talent. The Hariyanvi accent was beautifully. Mohammad Ayyub and Saurab Shukla were terrific in their characters and deserve all the appreciation.
The background score was pleasing.
Overall a decent watch with a lot of gaps to be filled but a good entertaining 140mins"
7,The perfact cast and superb storyline makes movie enjoyable in every bit.
8,"Movie was not upto the mark.... First of all I don't like this idea of holding a competition for a woman..... Then one can't out of the blue take up some random students and train them against already good players and the newly trained ones actually win..... Though I appreciate the fact that the player who actually turned the tables and was the most reliable one was actually a girl and the team was having players of both genders.....
The idea that the boys were chased by dogs in a guava orchard was bad, the is not how training is done....."
9,"There is nothing new in the story, Direction was good, dialogues were good Rajkumar Rao has done a phenomenal job infact the best thing about this movie is Rajkumar Rao other supporting actors like Saurabh Shukla, Satish kaushik, Jatin sharma, Mohammed Zeeshan Ayyub were done a good job Nushrat Bharucha also done a decent job. All in all a good family entertainment movie dont expect anything more than that.😊"
10,"Its not like this story has not been told before , but what makes chalaang unique is primarily the direction of hansal mehta, who after a long time is indulging in such a project , and secondarily rajkumar rao's flawless acting talent .
If u want to spend your lazy afternoon with giggles then chalaang would be a good pick this diwali !"
11,Unrealistic movie..made up situations...90's type of movie...
12,"The movie deals really well with the attitude of people towards sports in India through the life of the protagonist. It uses an amazing method to convey an important message, while at the same time keeping matters light and funny. In other aspects, like while dealing with romantic and family life it's a normal Bollywood film, with little, but predictable twists. Overall, a great watch and probably worth your time."
13,"Everyone has acted well. The story is exactly what can make our from the trailers. There are a fair number of useless elements that are not used. A lot more emotions could be evoked and direction/screenplay could have been better.
It is entertaining nevertheless."
14,Same boring story. Seriously looking for a movie worth watching.
15,"This is full of excitement, emotions overall worth watching. Plot was usual but because of the acting, it didn't made me to skip for a sec in the entire movie.
Rajkumar Rao's one of the finest movie...👍"
16,Truly an awesome movie by Hansal Mehta and Luv Ranjan. Simply great and Raj Kumar Rao steals the whole show and makes maximum use of this mother tongue and dialect. Looks so real and for sure this movie would be hit in North India or especially those who have ever visited a school in Haryana. It seems like a real life movie but the love angle digress the movie but not out of context. Overall a nice movie to watch !!!
17,Totally waste of time...filmaker thinking that due to corona peoplyat home are having very free time so that then can watch anything without applying theirs mind.its really a very pathetic movie.and who have given this movie good rating they may be belonging to crew and cast of the movies.
18,"Predictable story, few good comedy punches n overall great acting.
Don't expect much, its 1 time watch with family."
19,The message was good but I feel the execution was lacking. Certain portion is good but most part is difficult to connect. They should have focused on romance a bit more.
20,"Purely illogical, you will feel like to spit on each and every scene. Blalant and boring 💩💩"
21,Rajkumar Rao at his best.. really good movie. Its a very happy movie. Relaxes and keeps you entertained throughout. There is no dull moment or phase. Must watch.
22,"Importance of sports in life and career wise.Empowering women.Never give up attitude.Challenging oneself to win by sweating for an extra mile......are among the social issues handled here.The story is fun and appealing in the ways, above than the said words."
23,"I don't want to give you any spoiler so, I would only say that It's highly recommend movie just watch it . Please 🙏
🔥🔥🔥"
24,"Worst movie of Rajkumar rao, overacting and very bad direction"
25,Dont know why the movie is getting good reviews. Maybe due to Nepotism traction Or the fact that recent films in the Ott platform has sucked bigtime(sadak2 & laxmii bomb) in comparison this one is atleast a one time watch. but really this is a very average movie.
26,Story is good but the dialogue delivery by all the actors are just amazing.all the characters potrated their role very nicely.good story and screen play in comparison with big budget and copy paste movies .yet another master piece from hansal Mehta after the epic scam 1992.once to watch movie
27,"Hansal mehta is on run streak, first scam 1992 and now chhalaang, a perfect BLOCKBUSTER, a story of underdogs trying to defeat the already a champion team. Well this is a story seen so many times but every time it looks good and same is the story with chhalaang. A very predictable story but with lots of entertainment and hilarious haryanvi accent, this movie is must watch.Story revolves montu a PT teacher in a small town of haryana whose life changes when a computer teacher enters his life and also gets objective for life when yet another new PT teacher comes to the school and becomes head of montu. These leads to a small competition kept between the two. A simple stoty is fully made with heart. Hansal mehta has succeeded in showing some social issues very lightly and in comic way and as it is a bollywood movie, thus with full drama.
Rajkumar rao is such a natural actor, a small town guy roles are like made for him, nusrat did a decent work apparently got a good share of screen time and proved that she has got some good acting talent.
sateesh koushik, saurabh shukla and zeeshan aayub are the champs in comedy, their comic timing is up to the mark and dosen't look forced. Other supporitng cast did pretty good job to make movie even more watchable.on occasion of diwali, this movie is best treat to watch even with your family, a perfect family entertainer which must be seen."
28,"Raj Kumar acting very good . After seeing this movie I much impressed with the acting of Raj Kumar .
He is the one of the best actor"
29,"Movie was super and better than movies released this year. Commendable performance by all the actor and actress in the movie. There wouldn't be a moment where you feel boring. Better than soty1/2, panga. A good sports oriented movie and also a family film. It wouldn't have come at a better time then this. Hats off to the director and producer."
30,In order to fit into the character there is a lot of overacting by most of actors. Becomes unbearable after a point of time. Its trying too hard to be authentic.
31,This is the movie you can enjoy with your family on these festivals daysIt's a normal story but well directed by Hansal mehta of course not like scamRajkumar is the hero of this Diwali by giving fabulous performances in ludo and this movieNushrat killed with her expressions and others contributed wellThe movie is hilarious but needed some good edit and songsLike other good sports movies this has also kept the vibration onIt is entertaining
32,Rajkumar Rao once again stole the show with his acting skills and he was well supported by other casts. A watchable comedy movie with a much-needed social message is what you get from this movie.
33,"Shameless storyline. There are some social responsibility as a entertainer, remember it dear. Long way to go"
34,Same boring story. Seriously looking for a movie worth watching.
35,Worst Movie.Absolutely worthy enough to be ignored..Waste of time!!!
36,I did not liked the movie at all. It's totally a mess
