,0
0,add anything new catastrophic event genre yet perfect movie watch amid coronavirus pandemic sparsely populated movie theater wear facemask think much bad
1,go tonight girlfriend two people like kind movie love native language keep short well make apocalypse movie evolve make feel contemporary vibe refreshing like downtime lots emotion twist like bad cgi point
2,end world movie follow storyline one little extra like way handle realistic way scarier usually like see lot destruction action definitely recommend watch
3,hard watch feeling already see new movie problem check disaster kid check kid health issue check wwz scene check wwz drugstore check wwz almost forget earth space end check special ruin check
4,know scene come hell anyone movie pack character poor judgment take idiotic decision possible hysterical do sole purpose generate obstacle create tension work create lot tension aim towards scenarist blatantly take imbecile quickly find wish death main character make thing much good movie last minute
5,planet destroy asteroid hour strike expect call world dig must house arrest follow family try get safe place world around turn chaos people seem put effort loot shop toilet paper hold end world party make route bit like try save family drive ridiculously oversized car meteoroid forget corona two hour mindless fun
6,overall mess movie love disaster film seem like disaster theme take back seat family drama film load scenes parent scene try pull art string get tension comet easily replace wild fire film lame film truly awfully bad scene overall terrible plot development lead guy construct building course go vip new world comet hit poor write lead character drive onto runway prevents plane take pilot argue say full capacity say take wife son refuse reply one leave basically blackmail pilot reluctantly agree take kid mother erupt demand take sigh ask hero much weight lie weight call pilot accepts entitle family say sorry passenger board plane gtfo
7,mess child keep sit wait christmas
8,bad review movie awesome swear people hard please day film definitely heart race get extremely intense several time one favorite disaster flick eat heart highly recommend give movie watch star thumb
9,start good natural disaster way medium people seem react somewhat limited amount cgi leave lot imagination make nice background main story drag atmosphere main plot poor write mess fill age old recipe seem turn movie series fetch quest tedious look make sense waste potential try add drama even need event dramatic enough
10,movie classic end world hero flick tick right box course awesome although surprise come main plot enough unpredictable event happen keep entertain edge seat
11,comet hit people people people people hit drive base comet hit
12,time find bore think self go end impress good tho character bad either beggining movie think potential great film clearly wrong
13,love disaster movie still rather low expectation one hop pleasant surprise unfortunately unpleasant one cliche way still make movie exciting expect even director try surprise viewer make movie really even screen cinema release straight stream service truly disappointed like movie normally script cut
