,0
0,"This movie is spectacular with amazing set pieces, delightful colors and creatures it doesn't matter how old you are you can't take your eyes away from it. if you enjoyed the first movie, you will definitely love this one and obviously the animation is better especially the facial expressions of the characters are very unique. The cast is very funny especially Emma Stone and Nicolas Cage even though their characters weren't developed from the first one but they still very charming. The story is very simple as expected from a DreamWorks movie but the well designed action and the chemistry between the characters were good enough to keep you invested. I had so much fun watching this movie with my family I recommend watching it on a big screen if you can't catch it in the theater"
1,I absolutely loved it and so did my kids!! Would definitely recommend it and know we'll be purchasing once it's available.
2,"LIKES:
Animation
Design
Cleverness
Deep Story
Great Voice Acting
Decent Character Usage that is balanced
Humorous and Fun without going too far down stupid
Fun MusicDISLIKES:
Perhaps a little more time to really amplify all character arcs
The action scene at the end could have been a little longer
The political times a little more prominent at the end for the finish
Summary:Like Disney, DreamWorks is not shy to really bring animation A game to their movies, and this film is no exception. The Croods may not look the most realistic or revolutionary, but dang do they still move fluidly during the adventure of facing the elements of the wild, primitive stone age. Much like the first installment, the design of the world is beautiful, vivid colors filling much of the landscape that energizes the audience members, but not being afraid to fall into dark, drabber color and shadows to make foreboding landscapes meant to scare our ""heroes"" away. The whole design of the world maintains its cleverness as well, fusing various beasts together into forms that are humorous, fun, functional, and deadly all at the same time. As we reach the modern age, the clever devolution of our technology is hysterical to watch, not only in how it fits in the stone age's devices, but more so how the characters react to it in a sort of poke to our own traditions. This ingenuity is used well on multiple facets of this movie as story, design, and humor all maintain creative execution of the writer's talents. And yet that is not all this movie has to offer.
As I said earlier, animated features have a great potential to span all horizons, and the Croods takes that potential and balances it well. A deeper story lies beneath the comedic antics as themes of growing up, letting go, elitism, and several other themes are all addressed in the writing of this film. While not every character gets the same amount of growth, Crawford and his team managed to involve many people in uncovering the desires, truth, and weaknesses that were still present at the end of the first film. It takes the growth and continues to push helping our characters push to evolve into something more without taking too many steps back. That deeper side comes from good voice acting, the ensemble once more pulling their voices to match the emotions of the scene and characters without overstepping the boundaries too much. And even better is that so many of the characters have adequate time in the story and serve their purposes across the board, though some of the pets and accessories could have had some more time. Assuming they understood the importance of all their pieces, I was impressed to see the characters remain integrated, and not just included for the sake of being included a site that as I stated in the past is difficult to achieve.
Yet if you are worried all this multitiered approaches and deeper meaning make the movie less fun, you have nothing to worry about. Croods is still the same fun adventure that we saw back in the day, a blend of kid savvy stupidity that will bring out laughs, while also being just a fun vacation from reality with jokes that parents will get. Though it does still go a little far for my tastes, the movie just has that positivity that I always like to see, even at the darker parts, that make going to the movies the added flavor it needed. And as for the music, again, another piece to the puzzle that adds that tiny something that you did not realize you needed. Though no amazing chart topper or moving symphony piece, Croods 2 soundtrack is all about bringing out that same flair of fun that much of the movie is about, and using some other tricks for the more serious moments thereby adding to the scenes.Finding dislikes was hard and perhaps a bit picky when it comes to most audience members going to see the movie, but nevertheless here we go. The first part is that though they did a nice job with keeping balance and the pieces moving, there was more room to dive into the character's story. Guy's parents and the adventures they had to connect to Dawn would have been nice, or perhaps more into Eep and the Betterman's personal interactions the way we saw Guy's integration would have been preferred for the full effect. Even without adding new content, a few of the impasses could have used a bit more development to fully maximize the moments. In addition, the awesome opening action scenes that were dynamic and fun, sort of got diluted at the final climax where after much buildup of about 10 minutes of dialogue, I expected more of the same clever antics the beginning showed. Instead, it was more one shot uses of some character's new names that quickly fell to background for our main protagonists to take center stage again. Certainly not the worst, but after such great things during the rest of the movie, to stumble at the end was a bit of a letdown for me. I supposed it could be budget, timing, or ""violence"", but I also feel the political component of the film started coming into play more into the decision making. Despite all the hoping, Croods was not completely sheltered from the movements of the modern age and though not the most aggressive (Black Christmas and New Charlie's Angels) it still had no troubles sneaking its own voice in. Again, had the ending scene shown me the buildup was worth it great, but the demotion of three of the characters to forms that were weaker and outside of their character, could have done with a little better balance. Still not the worst and will most likely affect few people.The VERDICT:Despite my concerns of 2020 and sequel syndrome hitting, the second installment of the Croods was just as fun and energizing as its predecessor. With the same fluid design and fun chemistry, an amazing use of clever planning that blended story and fun, and a humorous atmosphere throughout the whole film, it is certainly worth a visit to check this out. Sure there are some picky things I would have liked to see, but overall, the movie is one of the better animated sequels I have seen in a long time. Are their scary parts for kids, sure as there are loud sounds and some darker designs that might creep them out, but overall it's a pretty safe kids film for those probably 6 and up, and for braver 3 year old's and up. Overall, I was very happy with the film and encourage families to check it out when they have the time.My scores are:Animation/Adventure/Comedy: 8.0
Movie Overall: 7.5"
3,Wasn't as good as the original but was very close. Liked a lot and almost all of the jokes were hilarious. The entire cast is really good in there roles. Only critique is that I thought some of the jokes went on a little too long and some parts of the movie tried too hard to be comedic. But the kids wouldn't mind/notice. Overall good movie.
4,"Our kids loved it, and we couldn't stop laughing. Honestly, even better than the first one. The jokes were fabulous and the storyline was awesome! New favourite for sure."
5,"We were lucky enough to be able to preview the movie and we absolutely LOVED it!It was just as good - if not better - than the original.This time around, another family is introduced....A very sheltered human family named The Bettermans.This action-oriented flick is the perfect for the whole family! Unlike some other animated films, this one kept our attention as parents.My favorite was the wildcat Gran. There is also a pretty hilarious scene involving a chicken that you won't want to miss."
6,"The wondering cave family is back, this time find refuge with another family named the Bettermans, who are from Guys past, and while living in such luxury, but things are not has simply has it looks.The animation is so beyond amazing, and the comedy never let's up, almost like a sitcom. The voice talents of Nicolas Cage, Peter Dinklage, and Emma Stone to name a few is always fun. This sequel is a fun time, and will get your mind off of covid."
7,"The bad
This movie is too packed and can feel slow at some time they stuffed too much into it and it just doesn't feel right at some points and even gets boring but it's still a good film for young children
Some of the jokes fall flat during the movie
Some of the running gags go on for way longer than they should and it gets annoying
The movie can feel a little bit predictable at sometimes
The mixed reactions
The relationship between the croods and the new characters
The whole plot about the punch monkeys
The ending and everything about it
The good
The animation in this movie is beautiful and the world is is amazing it does a great job of continuing the story
The character development is even more amazing we get so much orange story between the characters we get a realization for some of the characters the whole thunder plot is amazing and the world just keeps going stronger
The story
this is the only natural way to go and I think they did a great job at delivering it
Other stuff
Especially since there was a lot of stuff in this movie and the ending I'm not sure how it can continue and I'm not sure how I feel about that
Overall
The movie is good but just like almost every other movie it is not perfect overall I give it a 83%. Not amazing but good a b-"
8,"I saw ""The Croods:A New Age"", starring the voices of Nicolas Cage-the Ghost Rider movies, The Weather Man; Emma Stone-La La Land, Superbad; Ryan Reynolds-The Hitman's Bodyguard, Harold & Kumar Go to White Castle and Peter Dinklage-Game of Thrones_tv, Elf.
This is a sequel to the 2013 'The Croods' that I liked better than the first one. Don't get me wrong, the first one was good but this one was even better. Nicolas returns as the head of the Croods, a prehistoric family that has adopted Ryan-Ryan is sort of like the next step up in the human evolutionary scale-and they are just looking for a new place to set up a home for the family, or as Nicolas calls them, his tribe. Ryan likes Emma, Nicolas' daughter. In their search, they come across a family that knew Ryan when he was younger and their names are the Bettermans-and they seem to think that they really are the better men. Peter is Phil Betterman, the father of the family and he thinks Ryan should stay with their family, the Bettermans, instead of the Croods-he thinks the Croods are beneath them and are mere savages. There are lots of class differences between the 2 families and it takes some time until they can agree on things. It is a funny and never dull story that has some subliminal messages, but not too many that would make it preachy. If you liked the first one then you should enjoy this one, too, because it is a great family film.
It's rated ""PG"" for peril, action and some rude humor and has a running time of 1 hour & 35 minutes.
I-and the rest of my group-really enjoyed it and I would buy it on Blu_Ray."
9,"I liked the movie, I thought it was funny and has humor in it that everyone of all ages can enjoy, just an overall good movie. The plot is good and not confusing. I would rate it an 8/10 but there was just a lot of forced humor and it was kind of strange at the end. The story line was a little off from the first movie but I think that is fine because it was just little things. Definitely not as good as the first movie just because the end almost ruined the whole movie for me, it was extremely cheesy, but that is just my opinion, I am sure that if I were a child I would say differently.I liked the humor in this film, I was laughing pretty much the whole way through it. I liked the plot and how the Bettermans and the Croods have to eventually work as a team. I liked some of the modern references and how they took modern stuff and old caveman stuff and combined it to make an excellent movie.I couldn't emphasize this more, the end was very strange. I liked everything else about the movie though. I was an overall good family movie."
