,0
0,say one good first one way first one amaze anything like look forward god awful believe waste seven whole dollar rent focus sex show happen toxicity completely unrealistic plot line intern bunch terrible stuff get bad movie go waste time
1,want like one everything rush build felt flat redeem thing whole movie fan book guess even bother
2,movie baffle overdramatic girl purple hair act seem like real people realise yes sometimes young immature people behave talk like scream make assumption trust issue egotistic overly jealous completely ridiculous act relationship mean truly think real love feel like significant toxic make cry time even love one day grow realise true love make calm happy make feel safe understood never search knife back real relationship good get boring okay course always hardships look remotely like one movie clear hardin tessa together least part live immature toxic trust keep hurting retaliate purposely try hurt one another hope young people see mistaken hand make mistake regard love life guess end day forward actual movie even bad dialogue man dialogues direction make want cry good way really think many problem movie problematic write state book material get good certain point might like movie
3,star main actor effort sacrifice act movie bad script costume lack catchy music hell approve movie make actually honestly get sad kinda like book
4,watch cinema really sucked real plot wait end also predict basic hard watch get bore easily recommend
5,bad film worth watch min want leave
6,day internship bos wake bam stay luxury hotel get drunk party think face hmm kick door appear tough show much bad guy think face hmm little logic hurt
7,relationship toxic character development slut sham disappointing coworker suppose hot distraction character development chemistry actor really get people rate movie quite bad
8,movie really bad iwas excite trailer sorry hero really love guy much movie bad anne read series one favorite movie waste time
9,first film bad fact trailer second one absolutely horrendous franchise target demograph film make disturb girl gonna see think okay clearly toxic abuse relationship long guy handsome complete tool fine first one bad pretty damn sure second one change thought
10,word totally describe movie script silly embarassing cast lame rather give point possible
11,many thing wrong movie upset turn problematic chaotic toxic character development cycle hot fight someone throw stuff forget anything happen independence female empowerment individuality almost nothing even work publish read write still give independence personality movie poorly represent diversity saw plot swear bit sham along twice influence alcohol say yes drunk follow guideline consent give full consent drunk relationship change first movie shame people see movie begin romanticize relationship like one toxicity sure even say relationship due horrible lack communication stop give antagonist assumably nothing title mean girl get villain sham call give personality bore classic cliché appreciate romanticize glorify use alcohol cop mechanism along destroy physical object therefore worsen love interest relationship main character continue pretend okay follow thing list like ignore point good movie waste time
12,sorry love book movie use major plot point barely story yes may bite good first one say much understand anyone read book enjoy movie story whatsoever
13,bad plot terribly act god know recast third movie whoever play fine disappointed lack substance
14,film good compare first one combination romance action bit comedy keep hook screen end cast amazing job bring book character reality especially male lead actor portray character conviction intensity reflect screen point start feel pain agony something worthy watch
15,story line act wife fell asleep total waste money time
16,love improvement last movie want get sequel
17,surprise even possible anyone seriously make movie like fake predictable
18,wish never saw movie never see bad movie life favour watch
19,bad movie bad movie see far trust year movie great whole thing toxic mess trainwreck stop watch act awful hated time around terrible script bad part possibly bad script ever think movie well consider ten find hat concept movie
20,huge improvement first movie interest actually proper storyline definitely recommend check
21,honest disappointed best movie act actor good weird like tessa go like week essentially totally bad movie good something miss like something big also hour minute enough tell whole story like movie overall good read bit book watch first movie first movie much good also second film like way shot sens really good recommend anyone well least second movie recommend watch fifty shade lol
22,really happy saw stuck book time amazed chemistry red heart bit rush though worth get see alot scene book hope story continue get last movie smile face smile eye
