,0
0,happens give million dollar budget great cast wrong director probably producer least give nice soundtrack noooo destroy
1,think explain everything hat movie forever list couple thing hat context ethnically resonate character feel like hollow shell emotion personality memorable scene scene song incredibly move emotional version felt nothing saw bland bore scene character like removed reason make realistic cut plot magic cgi phoenix introduce even watch entire movie understand point addition phoenix contribute nothing plot unlike lovable personality personality action sequence awful seem like design fit year old interpretation cool mean actually extremely cringey top moment character suspend weirdly long period air jump make offputting watch repetition honour loyal brave true throughout film important concept culture mean need repeat every minute someone play drink game every time word mention probably end hospital alcohol poison someone create movie character keep say freedom american dream every sentence like broken record player important ideal mean anyone want watch movie repeat million time virtue introduce subtlety grace make actually palatable viewer dislike addition feel like character cool concept execution poorly do see enough backstory able connect interaction shallow artificial also accept minute conversation palace decide give life course witch ostracise entire life different perspective understand decision feel like director suddenly realise movie long rush kill finish movie time makeup matchmaking scene idea decide give garish makeup especially since none girl matchmaker look like end movie return matchmaker room another girl meeting matchmaker awful makeup attempt historically accurate understand difference modern concept beauty historical ideal think try hard find balance two plenty historical drama manage actresses look gorgeous modern eye even though dressed period style extremely excite movie love mulan one representation culture saw western medium kid amazing movie make proud watch movie feel like watch bad parody make weird assumption culture person comprehend magic chi even properly articulate anger confusion think many original song cut unrealistic magic chi business completely unrealistic record chinese people turn bird fly manage save china power hard work perseverance determination special handwavy magic energysorry long review become felt pretty strongly movie people different opinion since different like dislike come different background enjoy movie glad unfortunately share view recommend everyone watch instead everything movie try failed movie stay true story absolute masterpiece comparison opinion
2,original normal girl amazing thing hard work one like something magical power kinda mess message main problem version cringy boring
3,believe actually pick girl play role new real person remake movie still remember question abc girl excitement face ask question back year wait turn complete disappointment star probably best rating give absolutely ideal cast character look astonish reflection sword poster win movie one star scenery movie beautiful especially imax skyline capital city breathtaking earn second star probably half star imax third since imdb allow give zero star bad movie time basically buy get free star story tell childhood thousand year thanks story tell world great cartoon movie spirit encouraging generation people include bravery loyalty importantly filial responsibility true people think highly filial duty spirit word engrave sword director really want tell little story girl seek true self story whole story line logical well face true self female true family troop necessary armor helmet run war fight logical troop well trained soldier count life little girl strategy ever easily provoke rather get one one fight berserker sure want make good history base movie least thing real study see movie prejudice westerner traditional culture soulless drama phoenix safety peace ever pale white face bloody red cheek makeup mind control transform witch metaphor single culture present precisely come movie read learn mistake make culture history timeline etc rating go way day release bother remember mistake much even imagine director successfully make contribution alienate understanding westerner may think another movie make order please market people actually feel insulted cultural bias show great example make movie offend side audience original folklore character like cricket funny soul ancestor possibly complain cute funny dragon especially come silent helpless know phoenix take place let people doubt remake actually movie make superhero great talent young course heroine boyfriend potential one general something adaption sound feminist movie simply waste good legend passion fan hour life probably million dollar job
4,probably bad movie see last two year mind still one favourite cartoon movie quite something achieve put simple every time script diverge cartoon bad leave best part add ridiculous nonsense imagine add character lazy screenwriter able make story work add character morph character motives character witch take servant useless trope argue story cartoon write well whole script dumb phoenix ash metaphor do thousand time please god sake people one original idea brave true three word appear like movie yet absolutely nothing come naturally appear story like make movie word appear every item know movie bravery see cartoon landscape beautiful documentary anyone tell director landscape movie need make sense felt like watch old spice comercial top mountain desert look back inside vulcano movie three strong virtue talk loyal brave true three word come mind ridiculous dumb lazy yeah watch buy watch cartoon another time
5,sure movie show title one absolute favorite movie nothing like movie instead replace silent bird musical number never get business edits terrible make look place wait someone explain woman turn bird
6,poor sfx witch totally unnecessary emperor kill find actress play unconvincing tiny believe pass boy fought way stop remake try make something new terrify
7,make great drop charm side character humour character development favour bland cringey girl power lunacy waste believe thank later
8,music charge war press pause start singing cause realistic say one emotional amaze war scene start sing charge towards film
9,movie garbage even close original classic animation waste time
10,make anything original old story remake classic animation live action pay action choreography screenplay dull boring history character make movie work bad action costume look cheap lucky pay dollar watch friend place like walk halfway thru movie
