,0
0,"It is nice to see all these Iraqi sacrifices to liberate their country from terrorism, murderers and criminals. Acting in the film is very good and the photography is beautiful. I loved the film very much."
1,"Glad I watched it, despite this being 5.9. Which I believe would be purely because of political affinity of reviewers.
From a neutrals point of view, this movie is technically taut. Tension feels real. There are no heroes here. Action sequences are brutal but highly believable. Bottom line is, it all feels real. Extremely Real. The backdrop of a city in half ruins just saddens the overall theme, Civilians being shot was something that could have been left out though. But in the end the movie is about the human side of the elite SWAT Force members.
This is way better than many high budget Hollywood failures"
2,This work is very good and I really enjoy it. I hope you will produce in the future more works about Iraq 🇮🇶.
3,"A very beautiful movie, but it cannot reach the suffering that the people of Mosul have reached. I ask Netflix to continue making more Iraqi films and series."
4,We as Iraqis appreciate this wonderful work from Netflix.
5,The BEST war movie since Black hawk down!Amazing! Authentic and a true story!I must say to the people that don't understand Arabic that there are loads of words & meaning lost in translation in the subtitles cause it's way better in Arabic!
6,"A very wonderful movie that tells about the tragedy of Mosul and how ISIS occupied it and the exodus of its people. Very cool, and thanks to the brothers Rousseau and the hero Suhail Al-Dabbaj"
7,A decent movie. Better than a decent movie. Everything is great. No particular side is bad. strict 7.5 is a must for this movie. And Arabic actors are doing very well. Nothing to say. A must watch decent movie.
8,It nice to see a movie about the real war that happened in Iraq the movie contains some real facts that really exist in Mosul city acting is good I'm writing this because I'm a soldier in the Iraq army and I saw a lot of terrible things in this war.
9,The great sacrifices of the iraqi army deserved to be honored and documented in a work like this!
10,"Very nice work for iraqi act
Hope best in the future 😁
Thank you 😍😘😍"
11,"Great and sad story 😭😭
Beautiful cinematic production and beautiful excitement.
But the movie does not focus on a particular hero, to give the message that no one is safe."
12,"But there are some errors, such as non-Iraqi money, and some mistakes in others"
