,0
0,watch lot movie come across kid relate stuff hard candy woodsman hound dog start insult anyone brain say actual footage etc second know fact base actual crime use mixed fiction disgust actual victim think film make raise awareness danger sadly mistake show many aspect film three main scene raise serious question film maker intentions whether let near anyones kid first photo design shock second top close rape scene mean year old kidnap girl last mean least web cam chat summer camp one scene tell friend first summer camp age go describe detail appear bother enjoyed scene bearing film raise serious question filmmaker glorifies child abuse really strange disturb short act suck film sucked filmmaker probably look police
1,sorry know sort minority movie frankly think terrible first part movie pretty poorly write act terribly much well much movie tell instead show surefire way make care character finale require care character tell break instead see revealed action revelation weakness even revelation awareness weakness make feel character inherent sadness pretty much anything long tell love heart break revelation earn one bit fell flat make say okay broken stereotype think make find footage film mistake sure do try bump realism factor genre limit force awkward scene also strange moment like sort video chat phone literally way apparently short distance also force one question film record session record beyond crucial point film also gap plot hole character finally go police possible kidnapper strangely tell earlier know odds alive shrink dramatically plaster name face news sorry sort thing happen session record police know hand go around post photos message board obviously way track expect believe kidnapper rapist murderer also computer whiz add crucial plot let talk last minute sorry deeply disturb last minute miss lot film last year last minute felt way sanitize likely character age hold thing like original even remake watch attack scene film felt need shower afterward feel clean particularly felt much like snuff film first saw take long time watch keep prisoner rap stuffed barrel yeah saw come mile away dead friend sit man dig whole minute clearly see go try talk way barrel lead big problem climax never really seem take situation seriously never anything scream seem think let tell anyone take seriously top even brief moment last minute chain make absolutely attempts escape one point clearly jag piece metal inch head never go keep cry help sorry film work expect find subject matter shock disturb make character year old though actress played look far old fail unless sell watch tell person specific age make engage problem later film engage willing suspension disbelief care front need care late get filmmaker go applaud effort think try cash find footage boom go may make much engage effective film film make care instead expect care adult actor play character certain age
2,remember back government country try put together educational program teach teenager danger sexual predator active meet someone alone film purpose seem make educational video usa ad even message write harm do call movie reviewer site several others say message important thing flick let secret act horribly unconvincing character flat shallow stereotype far rape scene watch come back tell bad stomach hurt godaweful scene ever saw movie movie enrich life whereas one really short see watch
3,movie originally look like good laugh truly quite opposite apparent goal movie warn teenager parent danger internet however tell movie actually make act disgust disturb fetish first problem movie exploit teenager year old girl discuss give head age say happen go minute worth detail point movie begin question director intention movie believe get bad end movie feature minute uncut footage wherein watch year old girl chain wall dungeon force eat bowl like dog brutally rap yes entire thing blood everything show best friend dead body sit barrel put barrel best friend dead body bang let josh dig hole literally minute scene dig scream inside barrel finally josh buries alive best friend body usually offend gory disturb scene fact sometimes definitely help portray message case however last minute unbelievably unnecessary simply horrify watch extremely inappropriate downright creepy
4,begin movie tell base true story like see story movie seem like unrealistic depiction predator case ever see recall watch minute awareness movie high school true life get wrong think vital stay inform kid get lured way movie present laughable character incredibly shallow clichés abuse girl value little thus engage risky behavior include drink drug indiscriminate sex best friend cardboard cut good girl pick girl seem completely naive point allow online let alone chat room chat almost oblivious contradiction dog wrecked web cam little brother wreck web cam stalker like behavior avoidance show video person problematic viewing film way kidnap case portray minor like come forward evidence like identity keep secret information share reason certain information reveal investigation one last people saw questioned information discover much sooner still chat even become apparent kidnapper case like official able track location via address profile criminal blurry seem intelligent case however make major mistake case believable criminal movie reality police able track movie par either informative video scary movie rely solely hype fixation people unfortunately idea people dramatically kidnap predator one
5,movie kind pointless except shock value send message claim base true event hype last minute actual footage need realize although film boast send message online sexual predator film brutally graphic get tired hearing mom say make daughter watch normal parent let child watch garbage send message parent job hard find idea come film loosely base drew murder two young girl murderer even man meet online neighbor daughter befriend also abducted school one bury blue barrel back yard box caught convict serve two life sentence stuff like happens every day put forward message sender like movie get point across flick horror message lose target audience watch thought form rather horror fodder gore fan seem bulk watching
6,put watch one quite huge find footage trend look pretty badly make active member several horror community keep see movie pop comment realistic portrayal teenager last minute disturb see enough people say never get end finally decide time see movie start already greet terrible act text show screen inform everything view take news clip girl camera video chat cell phone try play like sort documentary keep mind suppose yet everyone walk around video chat super awesome cell phone introduce shy outcast virgin good family popular sexually active girl rough home life like able get party trading favor jerk host attend party everyone drink use drug complete walk pleasuring host hit overly touchy party goer get sick terribly embarrass way video chat go detail first blow job totally rape btw get bust mum lead talk run away start chat dude call friend tell see picture webcam break agree meet see find shy decide meet next morning start video call friend actually send texts make phone call much annoyance get mad disappearance girl report talk police contact new threatens stop go alone make video diary bridge kidnap reason decides record thing camera toss find show uncut minute record captivity force eat without hand later rap keep bra knickers rape remain focused face though see bloody finger remind virgin last moment film far long show dig grave begs life entire time scene see shadows people around buries alive entire thing serf talk stranger online warn lot people find disturb happen even reason well watch episode svu sit disaster
7,movie pathetic actually encourage write first review think crime irresponsibility warn world insulting garbage watch problem movie everything imagine hoe ever think good act abysmal write lazy even funny bad way direct bad terrible overall idea movie wrong way character behave even close real people act whole point movie antagonize internet director creator movie even understand concept online browse director god guy make mistake even make high school movie project quality shot match device movie suppose shot like cellphone computer file web cam footage hell say computer file even scene actually hear guy yell action edit careless shame impress googled guy wait take moment say president asc people get nothing favor watch movie dumb childish terribly write terribly act horribly edit insultingly bad direct deserves less rating write positive review good movie want last one sure first one though
8,strange film subject matter feel like hallmark true lifer danger internet act hammy become entirely camp mock footage news show get add mix moment close shocking stage short slightly uncomfortable description one girl sexual abuse suffer child suddenly little foreshadow turn disturb snuff movie minute usually spoil much film need prolong brutal rape year old real time probably something aware give star ability truly impart emotional impact even disgust message teenager regard internet stranger danger completely gratuitous
9,movie become whole thing watch since big horror fan storyline get excite second half first half super bore act make good second half get good acting still good enough keep entertained get suppose spread awareness entertain really see point first half anyway miss music character development lot friend tell everything parent parent screen begin plus miss felt like best friend go miss mom really scared let outside park meanwhile chill bear middle nowhere mean yes two photo disturb build suspense much well like yea idk idc photo take free coupon also dead body platonic opinion act cinematography spread awareness guess still hat progression storyline three major trigger moment disturb much well execute
